range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[1, 0.14, 0.14, 0.1]",0.04,+,5,0.8099084700241389,0.7499023675918579
"[1, 0.14, 0.14, 0.1]",0.04,+,6,0.823127178059169,0.7850586175918579
"[1, 0.14, 0.14, 0.1]",0.04,+,7,0.8330875507698898,0.798046886920929
"[1, 0.14, 0.14, 0.1]",0.04,+,8,0.8409800545390135,0.80859375
"[1, 0.14, 0.14, 0.1]",0.04,+,9,0.8470889183644886,0.79736328125
"[1, 0.14, 0.14, 0.1]",0.04,+,10,0.8519372883729743,0.791210949420929
"[1, 0.14, 0.14, 0.1]",0.04,+,11,0.8558505861708176,0.783496081829071
"[1, 0.14, 0.14, 0.1]",0.04,+,12,0.8589729858874123,0.7774413824081421
"[1, 0.14, 0.14, 0.1]",0.04,+,13,0.8614486616521532,0.794921875
"[1, 0.14, 0.14, 0.1]",0.04,+,14,0.8635742002455079,0.799609363079071
"[1, 0.14, 0.14, 0.1]",0.04,+,15,0.8653290053632776,0.796093761920929
"[1, 0.14, 0.14, 0.1]",0.04,+,16,0.8668037007439385,0.79931640625
"[1, 0.14, 0.14, 0.1]",0.04,+,17,0.868187772386123,0.802929699420929
"[1, 0.14, 0.14, 0.1]",0.04,+,18,0.8692999728128784,0.8036133050918579
"[1, 0.14, 0.14, 0.1]",0.04,+,19,0.8703545035878761,0.817578136920929
"[1, 0.14, 0.14, 0.1]",0.04,+,20,0.8712442639292806,0.8203125
"[1, 0.14, 0.14, 0.1]",0.04,+,21,0.8721340242706849,0.8179687261581421
"[1, 0.14, 0.14, 0.1]",0.04,+,22,0.8730361423946087,0.818652331829071
"[1, 0.14, 0.14, 0.1]",0.04,+,23,0.8737693708240993,0.8182617425918579
"[1, 0.14, 0.14, 0.1]",0.04,+,24,0.8744696451668712,0.819042980670929
"[1, 0.14, 0.14, 0.1]",0.04,+,25,0.875174038770483,0.8299804925918579
"[1, 0.14, 0.14, 0.1]",0.04,+,26,0.8758825516349347,0.8331054449081421
"[1, 0.14, 0.14, 0.1]",0.04,+,27,0.8765375141084684,0.8353515863418579
"[1, 0.14, 0.14, 0.1]",0.04,+,28,0.8772048343645217,0.8370116949081421
"[1, 0.14, 0.14, 0.1]",0.04,+,29,0.8778227234904968,0.838085949420929
"[1, 0.14, 0.14, 0.1]",0.04,+,30,0.8784323740947925,0.844921886920929
"[1, 0.14, 0.14, 0.1]",0.04,+,31,0.879017309134049,0.8447265625
"[1, 0.14, 0.14, 0.1]",0.04,+,32,0.8795898863907861,0.843554675579071
"[1, 0.14, 0.14, 0.1]",0.04,+,33,0.8800841976915662,0.84375
"[1, 0.14, 0.14, 0.1]",0.04,+,34,0.8806032245573854,0.843945324420929
"[1, 0.14, 0.14, 0.1]",0.04,+,35,0.8811181321623648,0.837890625
"[1, 0.14, 0.14, 0.1]",0.04,+,36,0.8815753701155865,0.8374999761581421
"[1, 0.14, 0.14, 0.1]",0.04,+,37,0.8820902777205658,0.8382812738418579
